period,calendar_year,calendar_month,year_month,revenue,other_operating_income,operating_costs,non_core_operating_items,ebitda_adjustments,ebitda,ebit,financial_result,ebt,income_tax,net_profit,ebitda_margin,ebit_margin,ebt_margin,net_profit_margin,cash_balance,inventory_balance,receivables_balance,other_current_assets_balance,current_assets,current_liabilities_balance,net_working_capital,operating_working_capital,nwc_change,current_ratio,quick_ratio,cash_ratio,dso_days,dio_days,dpo_days,cash_conversion_cycle_days,operating_cash_flow,investing_cash_flow,financing_cash_flow,net_cash_change,opening_cash,closing_cash,free_cash_flow,ebitda_status,working_capital_status,liquidity_status,cash_flow_status,month,quarter,month_sin,month_cos,revenue_lag_1,revenue_lag_3,revenue_lag_12,ebitda_lag_1,ebitda_lag_12,net_profit_lag_1,net_profit_lag_12,cash_lag_1,cash_lag_12,nwc_lag_1,nwc_lag_12,revenue_rolling_3m,revenue_rolling_6m,revenue_rolling_12m,ebitda_rolling_3m,cash_rolling_3m,revenue_mom_pct,revenue_yoy_pct,ebitda_yoy_pct,net_profit_yoy_pct,ebitda_margin_change_pp,net_margin_change_pp
2021-01-01,2021,1,2021-01,-9271506.6,-107829182.0,-36374666.45,-106594970.0,-9888259.46,-260070325.05,-269958584.51,1103566.16,-268855018.35,-8790799.53,-277645817.88,28.050492360108983,29.117013680387178,28.997985974577205,29.946138190744534,26317810.49,11245957.87,75852037.13,0.0,113415805.49,-105066442.87,218482248.36,192164437.87,,-1.0794674530890016,-0.9724308240492734,-0.25048730851736695,,9.584271912134605,-89.54198201231891,99.12625392445351,-459921996.29,0.0,-96138286.18,-556060282.47,,26317810.49,-459921996.29,NEGATIVE_EBITDA,POSITIVE_NWC,LIQUIDITY_RISK,CASH_OUTFLOW,1,1,0.49999999999999994,0.8660254037844387,,,,,,,,,,,,-9271506.6,-9271506.6,-9271506.6,-260070325.05,26317810.49,,,,,,
2021-02-01,2021,2,2021-02,-5795763.39,-19379880.0,-37466545.05,-197605531.0,-17216887.36,-260247719.44,-277464606.8,-2371168.39,-279835775.19,-2694080.79,-282529855.98,44.90309592158834,47.87369465060236,48.2828156292281,48.747651856781545,44231047.42,21504129.9,67796409.22,0.0,133531586.54,-418669595.63,552201182.17,507970134.75,333718933.81,-0.31894264100803915,-0.2675796327445866,-0.1056466671611121,,12.237617003866227,-195.7027136933727,207.94033069723892,-581118665.5,0.0,-305513825.13,-886632490.63,26317810.49,44231047.42,-581118665.5,NEGATIVE_EBITDA,POSITIVE_NWC,LIQUIDITY_RISK,CASH_OUTFLOW,2,1,0.8660254037844386,0.5000000000000001,-9271506.6,,,-260070325.05,,-277645817.88,,26317810.49,,218482248.36,,-7533634.994999999,-7533634.994999999,-7533634.994999999,-260159022.245,35274428.955,-37.48844022825805,,,,1685.2603561479355,1880.151366603701
2021-03-01,2021,3,2021-03,-7779051.09,-4925402.4,-40960379.51,-174631237.0,-24790754.55,-228296070.0,-253086824.55,1036043.43,-252050781.12,-6758489.39,-258809270.51,29.34754732405286,32.53440832588747,32.401224545756264,33.27003094795204,68369894.73,34126761.2,36597876.88,0.0,139094532.81,-453709780.22,592804313.03,524434418.3,40603130.86,-0.30657159901325964,-0.23135443886420526,-0.15069081097799572,,21.0515337593365,-330.12097269200814,351.17250645134465,-250482799.51,0.0,-27066819.79,-277549619.3,44231047.42,68369894.73,-250482799.51,NEGATIVE_EBITDA,POSITIVE_NWC,LIQUIDITY_RISK,CASH_OUTFLOW,3,1,1.0,6.123233995736766e-17,-5795763.39,,,-260247719.44,,-282529855.98,,44231047.42,,552201182.17,,-7615440.359999999,-7615440.359999999,-7615440.359999999,-249538038.16333333,46306250.879999995,34.219611232266004,,,,-1555.5548597535476,-1547.7620908829508
2021-04-01,2021,4,2021-04,-9210169.6,-10615518.4,-38755979.54,-7660426.0,-7827643.08,-66242093.54,-74069736.62,-2137575.04,-76207311.66,-6980333.55,-83187645.21,7.192277277934165,8.042168585038869,8.274257149401462,9.032151287420374,85663569.92,45793749.05,17633724.45,0.0,149091043.42,-551891033.55,700982076.97,615318507.05,108177763.94,-0.27014579755170587,-0.18716972751948419,-0.15521826721658286,,30.9321985401688,-389.2047726720933,420.13697121226215,-166244090.88,0.0,-90579754.53,-256823845.41,68369894.73,85663569.92,-166244090.88,NEGATIVE_EBITDA,POSITIVE_NWC,LIQUIDITY_RISK,CASH_OUTFLOW,4,2,0.8660254037844387,-0.4999999999999998,-7779051.09,-9271506.6,,-228296070.0,,-258809270.51,,68369894.73,,592804313.03,,-7594994.693333332,-8014122.67,-8014122.67,-184928627.66,66088170.69,18.397083313152528,,,,-2215.5270046118694,-2423.787966053166
2021-05-01,2021,5,2021-05,-7772793.73,-71935509.6,-38654746.5,-9357009.0,-2979393.1,-127720058.83,-130699451.93,-3946341.27,-134645793.2,-4833773.35,-139479566.55,16.431679942444582,16.81499039728152,17.3227024770153,17.944586128879557,103260386.43,58954212.1,58800244.7,0.0,221014843.23,-652485103.64,873499946.87,770239560.44,172517869.9,-0.33872779929692004,-0.2483744536479331,-0.1582570787500653,,42.00243294377833,-482.9375902502685,524.9400231940468,-291421226.84,0.0,-95765684.94,-387186911.78,85663569.92,103260386.43,-291421226.84,NEGATIVE_EBITDA,POSITIVE_NWC,LIQUIDITY_RISK,CASH_OUTFLOW,5,2,0.49999999999999994,-0.8660254037844387,-9210169.6,-5795763.39,,-66242093.54,,-83187645.21,,85663569.92,,700982076.97,,-8254004.806666668,-7965856.881999999,-7965856.881999999,-140752740.79,85764617.02666666,-15.606399582478902,,,,923.9402664510417,891.2434841459183
2021-06-01,2021,6,2021-06,-7836161.75,-3061886.4,-39152295.44,-106878163.0,-5280870.95,-156928506.59,-162209377.54,-4179569.27,-166388946.81,-7116189.76,-173505136.57,20.02619542533052,20.700105831786843,21.233475280165063,22.14159713714434,124641428.4,70091304.78,29837715.53,0.0,224570448.71,-779926547.77,1004496996.48,879855568.08,130997049.61,-0.28793794665933814,-0.19806883657402546,-0.1598117524738454,,49.43982802148573,-548.7845483817691,598.2243764032548,-277840273.26,0.0,-116876558.06,-394716831.32,103260386.43,124641428.4,-277840273.26,NEGATIVE_EBITDA,POSITIVE_NWC,LIQUIDITY_RISK,CASH_OUTFLOW,6,2,1.2246467991473532e-16,-1.0,-7772793.73,-7779051.09,,-127720058.83,,-139479566.55,,103260386.43,,873499946.87,,-8273041.693333332,-7944241.026666666,-7944241.026666666,-116963552.98666668,104521794.91666667,0.8152541055530982,,,,359.45154828859387,419.7011008264784
2021-07-01,2021,7,2021-07,-9782161.68,-43132564.8,-36618568.17,-70849783.0,-2701225.82,-160383077.65,-163084303.47,1070762.08,-162013541.39,-2796112.63,-164809654.02,16.395463793847252,16.67160171799573,16.562141036908315,16.847978944874686,147560992.98,78609572.18,42297000.4,0.0,268467565.56,-866974586.21,1135442151.77,987881158.79,130945155.29,-0.3096602482128252,-0.2189891104074558,-0.1702022127604298,,62.942482682003785,-697.1044705566378,760.0469532386417,-270134018.91,0.0,-81405947.71,-351539966.62,124641428.4,147560992.98,-270134018.91,NEGATIVE_EBITDA,POSITIVE_NWC,LIQUIDITY_RISK,CASH_OUTFLOW,7,3,-0.4999999999999997,-0.8660254037844388,-7836161.75,-9210169.6,,-156928506.59,,-173505136.57,,124641428.4,,1004496996.48,,-8463705.72,-8029350.206666666,-8206801.12,-148343881.02333334,125154269.27,24.83358552418855,,,,-363.07316314832684,-529.3618192269655
2021-08-01,2021,8,2021-08,-8762319.16,-5878580.8,-38545853.55,-4934999.0,-4175730.88,-58121752.51,-62297483.39,-2930348.02,-65227831.41,-4462577.51,-69690408.92,6.633147166714251,7.109702608686991,7.444128685447244,7.953420509736374,171094202.81,93799092.83,17658746.48,0.0,282552042.12,-884339696.28,1166891738.4,995797535.59,31449586.63,-0.3195062296859037,-0.21343941709729264,-0.1934711327894842,,69.3287101345042,-704.2358354675739,773.5645456020782,-73431054.84,0.0,-7055529.22,-80486584.06,147560992.98,171094202.81,-73431054.84,NEGATIVE_EBITDA,POSITIVE_NWC,LIQUIDITY_RISK,CASH_OUTFLOW,8,3,-0.8660254037844385,-0.5000000000000004,-9782161.68,-7772793.73,,-160383077.65,,-164809654.02,,147560992.98,,1135442151.77,,-8793547.530000001,-8523776.168333333,-8276240.875,-125144445.58333333,147765541.39666668,-10.425533265158627,,,,-976.2316627133,-889.4558435138312
2021-09-01,2021,9,2021-09,-7964188.37,-3154130.0,-39605247.12,-113703778.0,-5338084.29,-164427343.49,-169765427.78,-5679883.88,-175445311.66,-9403803.3,-184849114.96,20.645838075525077,21.316099003821027,22.029276997123564,23.210038031785025,188841842.53,105596987.26,-11390099.11,0.0,283048730.68,-905592117.13,1188640847.81,999799005.28,21749109.41,-0.3125565310539995,-0.19595106898940284,-0.20852858473246988,,75.51881174450806,-677.9146490312316,753.4334607757397,-183512500.36,0.0,-12896196.47,-196408696.83,171094202.81,188841842.53,-183512500.36,NEGATIVE_EBITDA,POSITIVE_NWC,LIQUIDITY_RISK,CASH_OUTFLOW,9,3,-1.0,-1.8369701987210297e-16,-8762319.16,-7836161.75,,-58121752.51,,-69690408.92,,171094202.81,,1166891738.4,,-8836223.07,-8554632.381666666,-8241568.374444445,-127644057.88333333,169165679.44000003,-9.108670609071945,,,,1401.2690908810825,1525.661752204865
2021-10-01,2021,10,2021-10,-5918231.21,-3254756.4,-37429779.31,-90021766.0,-2507916.44,-136624532.92,-139132449.36,372127.26,-138760322.1,-6807872.12,-145568194.22,23.08536589262453,23.50912703865113,23.44624891733488,24.59657101162832,213566381.84,114567907.68,-41291991.29,0.0,286842298.23,-996243793.15,1283086091.38,1069519709.54,94445243.57,-0.28792379957825387,-0.1729239285951179,-0.21437160593465726,,91.1722145970088,-787.5669360803399,878.7391506773488,-212780982.04,0.0,-83252510.15,-296033492.19,188841842.53,213566381.84,-212780982.04,NEGATIVE_EBITDA,POSITIVE_NWC,LIQUIDITY_RISK,CASH_OUTFLOW,10,4,-0.8660254037844386,0.5000000000000001,-7964188.37,-9782161.68,,-164427343.49,,-184849114.96,,188841842.53,,1188640847.81,,-7548246.246666667,-8005975.983333333,-8009234.658,-119724542.97333331,191167475.7266667,-25.68946218935302,,,,243.9527817099453,138.65329798432953
