account_key,account_number,account_name,account_type,account_class,account_group,is_posting_account,is_active
1,11,Intangible results of development,A,0,1,True,True
2,12,Software,A,0,1,True,True
3,13,Other valuable rights,A,0,1,True,True
4,14,Goodwill,A,0,1,True,True
5,15,Emission allowances,A,0,1,True,True
6,16,Preferential limits,A,0,1,True,True
7,19,Other intangible fixed assets,A,0,1,True,True
8,21,Buildings and structures,A,0,2,True,True
9,22,Tangible movable assets and their sets,A,0,2,True,True
10,25,Perennial crops,A,0,2,True,True
11,26,Adult animals and their groups,A,0,2,True,True
12,29,Other tangible fixed assets,A,0,2,True,True
13,31,Land,A,0,3,True,True
14,32,Works of art and collections,A,0,3,True,True
15,41,Incomplete intangible fixed assets (WIP),A,0,4,True,True
16,42,Incomplete tangible fixed assets (WIP),A,0,4,True,True
17,51,Advances paid for intangible fixed assets,A,0,5,True,True
18,52,Advances paid for tangible fixed assets,A,0,5,True,True
19,53,Advances paid for financial fixed assets,A,0,5,True,True
20,61,Shares - controlled or controlling entity,A,0,6,True,True
21,62,Shares - significant influence,A,0,6,True,True
22,63,Other long-term securities and shares,A,0,6,True,True
23,65,Long-term securities held to maturity,A,0,6,True,True
24,66,Loans and borrowings - controlled or controlling entity,A,0,6,True,True
25,67,Other loans and borrowings,A,0,6,True,True
26,68,Loans and borrowings - significant influence,A,0,6,True,True
27,69,Other long-term financial assets,A,0,6,True,True
28,72,Accumulated amortization of intangible results of development,A,0,7,True,True
29,73,Accumulated amortization of software,A,0,7,True,True
30,74,Accumulated amortization of other valuable rights,A,0,7,True,True
31,75,Accumulated amortization of goodwill,A,0,7,True,True
32,79,Accumulated amortization of other intangible fixed assets,A,0,7,True,True
33,81,Accumulated depreciation of buildings,A,0,8,True,True
34,82,Accumulated depreciation of tangible movable assets,A,0,8,True,True
35,85,Accumulated depreciation of perennial crops,A,0,8,True,True
36,86,Accumulated depreciation of adult animals,A,0,8,True,True
37,89,Accumulated depreciation of other tangible fixed assets,A,0,8,True,True
38,91,Provisions for intangible fixed assets,A,0,9,True,True
39,92,Provisions for tangible fixed assets,A,0,9,True,True
