period,metric,metric_label,actual_value,baseline_median,lower_bound,upper_bound,deviation,robust_score,anomaly_flag,severity,direction,detection_method,isolation_anomaly,isolation_score,combined_anomaly,controller_action
2021-01-01,revenue,Revenue,-9271506.6,,,,0.0,0.0,False,NORMAL,NORMAL,ROLLING_IQR,True,-0.07932225402086268,True,MONITOR
2021-02-01,revenue,Revenue,-5795763.39,,,,0.0,0.0,False,NORMAL,NORMAL,ROLLING_IQR,True,-0.10748311428161883,True,MONITOR
2021-03-01,revenue,Revenue,-7779051.09,,,,0.0,0.0,False,NORMAL,NORMAL,ROLLING_IQR,True,-0.013662675506236788,True,MONITOR
2021-04-01,revenue,Revenue,-9210169.6,,,,0.0,0.0,False,NORMAL,NORMAL,ROLLING_IQR,False,0.00858255862085433,False,NO_ACTION
2021-05-01,revenue,Revenue,-7772793.73,,,,0.0,0.0,False,NORMAL,NORMAL,ROLLING_IQR,False,0.04106910648197565,False,NO_ACTION
2021-06-01,revenue,Revenue,-7836161.75,,,,0.0,0.0,False,NORMAL,NORMAL,ROLLING_IQR,False,0.058604786217531846,False,NO_ACTION
2021-07-01,revenue,Revenue,-9782161.68,-7807606.42,-10505131.988749998,-6135893.718750002,0.0,0.0,False,NORMAL,NORMAL,ROLLING_IQR,False,0.03778857677718811,False,NO_ACTION
2021-08-01,revenue,Revenue,-8762319.16,-7836161.75,-11438211.634999998,-5578548.875000001,0.0,0.0,False,NORMAL,NORMAL,ROLLING_IQR,False,0.034149293290063165,False,NO_ACTION
2021-09-01,revenue,Revenue,-7964188.37,-8299240.455,-11397529.5,-5605461.100000001,0.0,0.0,False,NORMAL,NORMAL,ROLLING_IQR,False,0.06975701067799739,False,NO_ACTION
2021-10-01,revenue,Revenue,-5918231.21,-7964188.37,-11356847.364999998,-5632373.325,0.0,0.0,False,NORMAL,NORMAL,ROLLING_IQR,False,0.038023030753778886,False,NO_ACTION
2021-11-01,revenue,Revenue,-9112830.13,-7900175.0600000005,-11083980.370000001,-5788584.69,0.0,0.0,False,NORMAL,NORMAL,ROLLING_IQR,False,0.06303103990942027,False,NO_ACTION
2021-12-01,revenue,Revenue,-8402233.72,-7964188.37,-11239866.0475,-5697556.2275,0.0,0.0,False,NORMAL,NORMAL,ROLLING_IQR,False,0.03170592636364894,False,NO_ACTION
2022-01-01,revenue,Revenue,-6739553.95,-8183211.045,-11176682.368750002,-5737969.378749999,0.0,0.0,False,NORMAL,NORMAL,ROLLING_IQR,True,-0.005840284759335068,True,MONITOR
2022-02-01,revenue,Revenue,-7930526.78,-7900175.0600000005,-10853141.57875,-5511289.108750001,0.0,0.0,False,NORMAL,NORMAL,ROLLING_IQR,False,0.0530323537890936,False,NO_ACTION
2022-03-01,revenue,Revenue,-9632863.55,-7947357.575,-10458637.13125,-6168796.52125,0.0,0.0,False,NORMAL,NORMAL,ROLLING_IQR,False,0.004071874688991672,False,NO_ACTION
2022-04-01,revenue,Revenue,-8326267.13,-8183211.045,-11112432.87625,-5845051.866249999,0.0,0.0,False,NORMAL,NORMAL,ROLLING_IQR,False,0.08307895864322135,False,NO_ACTION
2022-05-01,revenue,Revenue,-8852259.05,-8145227.75,-10394387.63875,-6275879.008750001,0.0,0.0,False,NORMAL,NORMAL,ROLLING_IQR,False,0.07213256976998916,False,NO_ACTION
2022-06-01,revenue,Revenue,-8053369.06,-8364250.425000001,-10433101.266250001,-6391236.07625,0.0,0.0,False,NORMAL,NORMAL,ROLLING_IQR,False,0.052872141345504164,False,NO_ACTION
2022-07-01,revenue,Revenue,-9304011.06,-8364250.425000001,-10359845.09125,-6513329.70125,0.0,0.0,False,NORMAL,NORMAL,ROLLING_IQR,False,0.03293124420878918,False,NO_ACTION
2022-08-01,revenue,Revenue,-9316910.21,-8364250.425000001,-10359845.09125,-6513329.70125,0.0,0.0,False,NORMAL,NORMAL,ROLLING_IQR,True,-0.07357760298503868,True,MONITOR
2022-09-01,revenue,Revenue,-8226871.5,-8364250.425000001,-10967903.947500002,-6148494.387499999,0.0,0.0,False,NORMAL,NORMAL,ROLLING_IQR,False,0.05005372753067916,False,NO_ACTION
2022-10-01,revenue,Revenue,-6788009.97,-8364250.425000001,-10867575.67125,-6315708.181249999,0.0,0.0,False,NORMAL,NORMAL,ROLLING_IQR,False,0.03855702253685339,False,NO_ACTION
2022-11-01,revenue,Revenue,-9281059.91,-8364250.425000001,-10867575.67125,-6315708.181249999,0.0,0.0,False,NORMAL,NORMAL,ROLLING_IQR,False,0.03594361776527799,False,NO_ACTION
2022-12-01,revenue,Revenue,-8903025.09,-8364250.425000001,-11183006.50875,-6126449.678750001,0.0,0.0,False,NORMAL,NORMAL,ROLLING_IQR,False,0.08354273005944457,False,NO_ACTION
2023-01-01,revenue,Revenue,-8469215.64,-8589263.09,-11183006.50875,-6126449.678750001,0.0,0.0,False,NORMAL,NORMAL,ROLLING_IQR,False,0.09424354978839256,False,NO_ACTION
2023-02-01,revenue,Revenue,-8573483.27,-8660737.345,-10941750.40875,-6528543.178749999,0.0,0.0,False,NORMAL,NORMAL,ROLLING_IQR,False,0.05544799663594313,False,NO_ACTION
2023-03-01,revenue,Revenue,-8775260.06,-8712871.16,-10764866.91,-6823349.010000001,0.0,0.0,False,NORMAL,NORMAL,ROLLING_IQR,False,0.07008671249339127,False,NO_ACTION
2023-04-01,revenue,Revenue,-7227365.94,-8674371.665,-10041707.153749999,-7257244.8637500005,29878.923750000075,0.04292236078370461,True,LOW,ABOVE_EXPECTED,ROLLING_IQR,False,0.0006811716247240862,True,MONITOR
2023-05-01,revenue,Revenue,-8179706.8,-8674371.665,-10218590.6525,-6962439.032499999,0.0,0.0,False,NORMAL,NORMAL,ROLLING_IQR,False,0.07301072577856221,False,NO_ACTION
2023-06-01,revenue,Revenue,-7195597.64,-8521349.455,-10271650.94,-6874005.220000001,0.0,0.0,False,NORMAL,NORMAL,ROLLING_IQR,False,0.06436279359129177,False,NO_ACTION
2023-07-01,revenue,Revenue,-7452532.17,-8521349.455,-10581402.11,-6357753.27,0.0,0.0,False,NORMAL,NORMAL,ROLLING_IQR,False,0.08701561554274434,False,NO_ACTION
2023-08-01,revenue,Revenue,-8523660.96,-8348043.57,-10923642.375000002,-5279799.554999998,0.0,0.0,False,NORMAL,NORMAL,ROLLING_IQR,False,0.054450531380980716,False,NO_ACTION
2023-09-01,revenue,Revenue,-7926100.53,-8348043.57,-10465457.749999998,-5554710.33,0.0,0.0,False,NORMAL,NORMAL,ROLLING_IQR,False,0.09184206313974247,False,NO_ACTION
2023-10-01,revenue,Revenue,-8132192.73,-8324461.220000001,-10465457.749999998,-5554710.33,0.0,0.0,False,NORMAL,NORMAL,ROLLING_IQR,False,0.08920058174859385,False,NO_ACTION
2023-11-01,revenue,Revenue,-7618366.85,-8324461.220000001,-9848256.008749997,-6583379.898750002,0.0,0.0,False,NORMAL,NORMAL,ROLLING_IQR,False,0.012550538976568604,False,NO_ACTION
2023-12-01,revenue,Revenue,-7494819.48,-8155949.765000001,-9974929.073750004,-6138095.643749997,0.0,0.0,False,NORMAL,NORMAL,ROLLING_IQR,False,0.0862595582707249,False,NO_ACTION
2024-01-01,revenue,Revenue,-7546906.21,-8029146.630000001,-9980695.946250003,-5986378.676249999,0.0,0.0,False,NORMAL,NORMAL,ROLLING_IQR,False,0.07884749041823763,False,NO_ACTION
2024-02-01,revenue,Revenue,-8537780.29,-7772233.6899999995,-9437866.87125,-6312076.12125,0.0,0.0,False,NORMAL,NORMAL,ROLLING_IQR,False,0.09289702946895889,False,NO_ACTION
2024-03-01,revenue,Revenue,-9478969.42,-7772233.6899999995,-9437866.87125,-6312076.12125,-41102.548750000075,-0.05259795301396944,True,LOW,BELOW_EXPECTED,ROLLING_IQR,False,0.08522423880495245,True,MONITOR
