period,anomaly_count,high_or_critical_count,max_robust_score,max_severity,controller_status
2021-01-01,11,0,0.0,NORMAL,WATCH
2021-02-01,11,0,0.0,NORMAL,WATCH
2021-03-01,11,0,0.0,NORMAL,WATCH
2021-04-01,0,0,0.0,NORMAL,NORMAL
2021-05-01,0,0,0.0,NORMAL,NORMAL
2021-06-01,0,0,0.0,NORMAL,NORMAL
2021-07-01,0,0,0.0,NORMAL,NORMAL
2021-08-01,2,0,0.11990435906012725,LOW,WATCH
2021-09-01,0,0,0.0,NORMAL,NORMAL
2021-10-01,0,0,0.0,NORMAL,NORMAL
2021-11-01,0,0,0.0,NORMAL,NORMAL
2021-12-01,1,0,0.0,MEDIUM,WATCH
2022-01-01,11,0,0.0,NORMAL,WATCH
2022-02-01,0,0,0.0,NORMAL,NORMAL
2022-03-01,0,0,0.0,NORMAL,NORMAL
2022-04-01,0,0,0.0,NORMAL,NORMAL
2022-05-01,1,0,0.06309332561901798,LOW,WATCH
2022-06-01,0,0,0.0,NORMAL,NORMAL
2022-07-01,0,0,0.0,NORMAL,NORMAL
2022-08-01,11,0,0.0,LOW,WATCH
2022-09-01,0,0,0.0,NORMAL,NORMAL
2022-10-01,1,0,0.06980481645270598,LOW,WATCH
2022-11-01,1,0,0.0,LOW,WATCH
2022-12-01,0,0,0.0,NORMAL,NORMAL
2023-01-01,0,0,0.0,NORMAL,NORMAL
2023-02-01,1,0,0.23076151033591985,LOW,WATCH
2023-03-01,0,0,0.0,NORMAL,NORMAL
2023-04-01,2,0,0.6925172449256652,LOW,WATCH
2023-05-01,0,0,0.0,NORMAL,NORMAL
2023-06-01,0,0,0.0,NORMAL,NORMAL
2023-07-01,0,0,0.0,NORMAL,NORMAL
2023-08-01,0,0,0.0,NORMAL,NORMAL
2023-09-01,0,0,0.0,NORMAL,NORMAL
2023-10-01,0,0,0.0,NORMAL,NORMAL
2023-11-01,1,0,0.0,LOW,WATCH
2023-12-01,0,0,0.0,NORMAL,NORMAL
2024-01-01,0,0,0.0,NORMAL,NORMAL
2024-02-01,0,0,0.0,NORMAL,NORMAL
2024-03-01,1,0,0.0,LOW,WATCH
2024-04-01,0,0,0.0,NORMAL,NORMAL
2024-05-01,0,0,0.0,NORMAL,NORMAL
2024-06-01,1,0,1.5069930638312603,MEDIUM,WATCH
2024-07-01,0,0,0.0,NORMAL,NORMAL
2024-08-01,0,0,0.0,NORMAL,NORMAL
2024-09-01,0,0,0.0,NORMAL,NORMAL
2024-10-01,1,0,0.0,LOW,WATCH
2024-11-01,0,0,0.0,NORMAL,NORMAL
2024-12-01,0,0,0.0,NORMAL,NORMAL
2025-01-01,0,0,0.0,NORMAL,NORMAL
2025-02-01,1,0,0.0,LOW,WATCH
2025-03-01,0,0,0.0,NORMAL,NORMAL
2025-04-01,0,0,0.0,NORMAL,NORMAL
2025-05-01,0,0,0.0,NORMAL,NORMAL
2025-06-01,0,0,0.0,NORMAL,NORMAL
2025-07-01,11,0,0.0,MEDIUM,WATCH
2025-08-01,3,0,0.9044158705519302,LOW,WATCH
2025-09-01,0,0,0.0,NORMAL,NORMAL
2025-10-01,0,0,0.0,NORMAL,NORMAL
2025-11-01,0,0,0.0,NORMAL,NORMAL
2025-12-01,11,0,0.0,NORMAL,WATCH
2026-01-01,0,0,0.0,NORMAL,NORMAL
2026-02-01,0,0,0.0,NORMAL,NORMAL
2026-03-01,0,0,0.0,NORMAL,NORMAL
2026-04-01,0,0,0.0,NORMAL,NORMAL
2026-05-01,11,0,0.6903729531686649,LOW,WATCH
2026-06-01,11,0,0.0,NORMAL,WATCH
2026-07-01,0,0,0.0,NORMAL,NORMAL
2026-08-01,11,5,48.79856222403659,CRITICAL,CRITICAL
