period,calendar_year,calendar_month,year_month,account_number,account_name,management_group,management_line,analysis_type,quantity,amount,amount_local,weighted_price,prior_year_quantity,prior_year_amount,prior_year_price,quantity_variance,price_variance,volume_effect,price_effect,total_variance,mix_effect,reconciliation_check,account_contribution_pct,price_status,volume_status,mix_status,comparison_type,analysis_level
2022-01-01,2022,1,2022-01,602,Revenues from services,Revenue,Sales Revenue,REVENUE,32433.0,7866698.03,9286157.91,242.55227792680296,34234.0,8660080.68,252.96724542852135,-1801.0,-10.414967501718394,-455594.00901676697,-337788.64098323265,-793382.6499999994,1.7462298274040222e-10,0.0,1.6440464802535648,UNFAVORABLE,UNFAVORABLE,FAVORABLE,YOY_SAME_MONTH,ACCOUNT
2022-02-01,2022,2,2022-02,602,Revenues from services,Revenue,Sales Revenue,REVENUE,31449.0,8039938.1,9533835.48,255.6500397468918,29294.0,6947629.78,237.1690373455315,2155.0,18.481002401360286,511099.2754796204,581209.0445203796,1092308.3199999994,-5.820766091346741e-10,0.0,2.2634798591167637,FAVORABLE,FAVORABLE,UNFAVORABLE,YOY_SAME_MONTH,ACCOUNT
2022-03-01,2022,3,2022-03,602,Revenues from services,Revenue,Sales Revenue,REVENUE,36020.0,9154658.19,10164772.790000001,254.15486368684063,37544.0,8388981.46,223.44399797570853,-1524.0,30.7108657111321,-340528.6529149798,1106205.3829149783,765676.7299999986,0.0,0.0,1.586634309394789,FAVORABLE,UNFAVORABLE,NEUTRAL,YOY_SAME_MONTH,ACCOUNT
2022-04-01,2022,4,2022-04,602,Revenues from services,Revenue,Sales Revenue,REVENUE,34448.0,8259096.41,9663362.11,239.7554694031584,34080.0,9109256.73,267.29039700704226,368.0,-27.534927603883858,98362.86609859155,-948523.1860985912,-850160.3200000003,-6.984919309616089e-10,0.0,1.7617010930945434,UNFAVORABLE,FAVORABLE,UNFAVORABLE,YOY_SAME_MONTH,ACCOUNT
2022-05-01,2022,5,2022-05,602,Revenues from services,Revenue,Sales Revenue,REVENUE,33193.0,8052342.73,9249685.17,242.59159250444372,29979.0,6750628.83,225.17858601020714,3214.0,17.413006494236583,723723.9754368057,577989.9245631949,1301713.9000000004,-2.3283064365386963e-10,0.0,2.697409825627196,FAVORABLE,FAVORABLE,UNFAVORABLE,YOY_SAME_MONTH,ACCOUNT
2022-06-01,2022,6,2022-06,602,Revenues from services,Revenue,Sales Revenue,REVENUE,34892.0,9001908.44,9283355.12,257.9934781611831,34575.0,8372339.71,242.15010007230657,317.0,15.843378088876506,76761.58172292118,552807.148277079,629568.7299999995,-6.984919309616089e-10,0.0,1.3045914914249848,FAVORABLE,FAVORABLE,UNFAVORABLE,YOY_SAME_MONTH,ACCOUNT
2022-07-01,2022,7,2022-07,602,Revenues from services,Revenue,Sales Revenue,REVENUE,33471.0,8846777.73,10639346.51,264.31172447790624,33788.0,8347773.7,247.0632680241506,-317.0,17.248456453755637,-78319.05596365574,577323.0859636549,499004.03000000026,1.0477378964424133e-09,-5.820766091346741e-11,1.0340354923993424,FAVORABLE,UNFAVORABLE,FAVORABLE,YOY_SAME_MONTH,ACCOUNT
2022-08-01,2022,8,2022-08,602,Revenues from services,Revenue,Sales Revenue,REVENUE,34629.0,9367392.05,10131293.21,270.507148632649,34235.0,8697619.77,254.0563683364977,394.0,16.450780296151265,100098.2091245801,569674.0708754222,669772.2800000012,-1.1641532182693481e-09,0.0,1.3879012346758626,FAVORABLE,FAVORABLE,UNFAVORABLE,YOY_SAME_MONTH,ACCOUNT
2022-09-01,2022,9,2022-09,602,Revenues from services,Revenue,Sales Revenue,REVENUE,32986.0,8530595.44,9389977.82,258.6126065603589,33455.0,8815371.37,263.4993684053206,-469.0,-4.886761844961654,-123581.20378209536,-161194.72621790512,-284775.9299999997,7.566995918750763e-10,0.0,0.5901123063094905,UNFAVORABLE,UNFAVORABLE,FAVORABLE,YOY_SAME_MONTH,ACCOUNT
2022-10-01,2022,10,2022-10,602,Revenues from services,Revenue,Sales Revenue,REVENUE,31517.0,7109057.96,8800970.32,225.5626474601009,31449.0,7776598.16,247.2764844669147,68.0,-21.713837006813804,16814.8009437502,-684355.0009437507,-667540.2000000002,3.4924596548080444e-10,0.0,1.3832759214456753,UNFAVORABLE,FAVORABLE,FAVORABLE,YOY_SAME_MONTH,ACCOUNT
2022-11-01,2022,11,2022-11,602,Revenues from services,Revenue,Sales Revenue,REVENUE,33158.0,8951099.33,8951099.33,269.95293232402435,35419.0,9221866.55,260.3649608966939,-2261.0,9.587971427330444,-588685.1765874249,317917.9565874229,-270767.22000000067,1.3969838619232178e-09,0.0,0.5610834759356585,FAVORABLE,UNFAVORABLE,FAVORABLE,YOY_SAME_MONTH,ACCOUNT
2022-12-01,2022,12,2022-12,602,Revenues from services,Revenue,Sales Revenue,REVENUE,33585.0,8462099.09,9066083.65,251.9606696441864,37089.0,8360867.31,225.4271430882472,-3504.0,26.533526555939204,-789896.7093812182,891128.4893812182,101231.78000000026,2.3283064365386963e-10,0.0,0.20977236091412355,FAVORABLE,UNFAVORABLE,FAVORABLE,YOY_SAME_MONTH,ACCOUNT
