period,analysis_type,total_variance,price_effect,volume_effect,mix_effect,reconciliation_check,top_driver_account,top_driver_name,top_driver_variance,price_status,volume_status,mix_status
2022-01-01,REVENUE,-793382.6499999994,-337788.64098323265,-455594.00901676697,1.7462298274040222e-10,0.0,602,Sales Revenue,-793382.6499999994,UNFAVORABLE,UNFAVORABLE,FAVORABLE
2022-02-01,REVENUE,1092308.3199999994,581209.0445203796,511099.2754796204,-5.820766091346741e-10,0.0,602,Sales Revenue,1092308.3199999994,FAVORABLE,FAVORABLE,UNFAVORABLE
2022-03-01,REVENUE,765676.7299999986,1106205.3829149783,-340528.6529149798,0.0,0.0,602,Sales Revenue,765676.7299999986,FAVORABLE,UNFAVORABLE,NEUTRAL
2022-04-01,REVENUE,-850160.3200000003,-948523.1860985912,98362.86609859155,-6.984919309616089e-10,0.0,602,Sales Revenue,-850160.3200000003,UNFAVORABLE,FAVORABLE,UNFAVORABLE
2022-05-01,REVENUE,1301713.9000000004,577989.9245631949,723723.9754368057,-2.3283064365386963e-10,0.0,602,Sales Revenue,1301713.9000000004,FAVORABLE,FAVORABLE,UNFAVORABLE
2022-06-01,REVENUE,629568.7299999995,552807.148277079,76761.58172292118,-6.984919309616089e-10,0.0,602,Sales Revenue,629568.7299999995,FAVORABLE,FAVORABLE,UNFAVORABLE
2022-07-01,REVENUE,499004.03000000026,577323.0859636549,-78319.05596365574,1.0477378964424133e-09,-5.820766091346741e-11,602,Sales Revenue,499004.03000000026,FAVORABLE,UNFAVORABLE,FAVORABLE
2022-08-01,REVENUE,669772.2800000012,569674.0708754222,100098.2091245801,-1.1641532182693481e-09,0.0,602,Sales Revenue,669772.2800000012,FAVORABLE,FAVORABLE,UNFAVORABLE
2022-09-01,REVENUE,-284775.9299999997,-161194.72621790512,-123581.20378209536,7.566995918750763e-10,0.0,602,Sales Revenue,-284775.9299999997,UNFAVORABLE,UNFAVORABLE,FAVORABLE
2022-10-01,REVENUE,-667540.2000000002,-684355.0009437507,16814.8009437502,3.4924596548080444e-10,0.0,602,Sales Revenue,-667540.2000000002,UNFAVORABLE,FAVORABLE,FAVORABLE
2022-11-01,REVENUE,-270767.22000000067,317917.9565874229,-588685.1765874249,1.3969838619232178e-09,0.0,602,Sales Revenue,-270767.22000000067,FAVORABLE,UNFAVORABLE,FAVORABLE
2022-12-01,REVENUE,101231.78000000026,891128.4893812182,-789896.7093812182,2.3283064365386963e-10,0.0,602,Sales Revenue,101231.78000000026,FAVORABLE,UNFAVORABLE,FAVORABLE
2023-01-01,REVENUE,400950.1899999995,71079.09201954705,329871.097980452,4.220055416226387e-10,0.0,602,Sales Revenue,400950.1899999995,FAVORABLE,FAVORABLE,FAVORABLE
2023-02-01,REVENUE,-83431.69999999925,32122.117965595302,-115553.8179655951,5.384208634495735e-10,0.0,602,Sales Revenue,-83431.69999999925,FAVORABLE,UNFAVORABLE,FAVORABLE
2023-03-01,REVENUE,152083.08000000007,282210.37020766176,-130127.2902076624,6.984919309616089e-10,0.0,602,Sales Revenue,152083.08000000007,FAVORABLE,UNFAVORABLE,FAVORABLE
2023-04-01,REVENUE,-1497235.75,-564347.2185523113,-932888.5314476893,5.820766091346741e-10,0.0,602,Sales Revenue,-1497235.75,UNFAVORABLE,UNFAVORABLE,FAVORABLE
2023-05-01,REVENUE,430551.30999999866,-131533.40983279707,562084.7198327961,-4.0745362639427185e-10,0.0,602,Sales Revenue,430551.30999999866,UNFAVORABLE,FAVORABLE,UNFAVORABLE
2023-06-01,REVENUE,21148.120000001043,-179828.79948756093,200976.91948756162,3.4924596548080444e-10,0.0,602,Sales Revenue,21148.120000001043,UNFAVORABLE,FAVORABLE,FAVORABLE
