period,metric,total_variance,primary_driver_account,primary_driver_name,primary_driver_variance,primary_driver_contribution_pct,top_3_drivers,controller_interpretation
2021-01-01,EBITDA,-260228253.28,641,Other Operating Income,-107829182.0,41.022576281343945,641 Other Operating Income (41.0%) | 541 Fixed Asset Disposal Costs (40.6%) | 504 Cost of Goods Sold (8.8%),UNFAVORABLE
2021-02-01,EBITDA,-259796262.64,541,Fixed Asset Disposal Costs,-197605531.0,75.26354523242942,541 Fixed Asset Disposal Costs (75.3%) | 504 Cost of Goods Sold (9.1%) | 641 Other Operating Income (7.4%),UNFAVORABLE
2021-03-01,EBITDA,-227119593.66,541,Fixed Asset Disposal Costs,-174631237.0,75.90278738682524,541 Fixed Asset Disposal Costs (75.9%) | 504 Cost of Goods Sold (10.6%) | 602 Sales Revenue (3.6%),UNFAVORABLE
2021-04-01,EBITDA,-66105873.28999999,504,Cost of Goods Sold,-23444258.92,34.29600730605609,504 Cost of Goods Sold (34.3%) | 641 Other Operating Income (15.5%) | 602 Sales Revenue (13.3%),UNFAVORABLE
2021-05-01,EBITDA,-127438645.14999999,641,Other Operating Income,-71935509.6,55.89673944469451,641 Other Operating Income (55.9%) | 504 Cost of Goods Sold (18.1%) | 541 Fixed Asset Disposal Costs (7.3%),UNFAVORABLE
2021-06-01,EBITDA,-156008478.02,541,Fixed Asset Disposal Costs,-106878163.0,66.83214442052233,541 Fixed Asset Disposal Costs (66.8%) | 504 Cost of Goods Sold (15.3%) | 602 Sales Revenue (5.2%),UNFAVORABLE
2021-07-01,EBITDA,-160559203.4,541,Fixed Asset Disposal Costs,-70849783.0,43.95811261690316,541 Fixed Asset Disposal Costs (44.0%) | 641 Other Operating Income (26.8%) | 504 Cost of Goods Sold (15.3%),UNFAVORABLE
2021-08-01,EBITDA,-57480114.199999996,504,Cost of Goods Sold,-23887952.93,38.84420811910636,504 Cost of Goods Sold (38.8%) | 602 Sales Revenue (14.1%) | 501 Material Consumption (11.0%),UNFAVORABLE
2021-09-01,EBITDA,-164433781.70999998,541,Fixed Asset Disposal Costs,-113703778.0,67.52432952162168,541 Fixed Asset Disposal Costs (67.5%) | 504 Cost of Goods Sold (14.7%) | 602 Sales Revenue (5.2%),UNFAVORABLE
2021-10-01,EBITDA,-136213605.54999998,541,Fixed Asset Disposal Costs,-90021766.0,63.757008144471214,541 Fixed Asset Disposal Costs (63.8%) | 504 Cost of Goods Sold (16.9%) | 602 Sales Revenue (5.5%),UNFAVORABLE
