calendar_year,calendar_month,year_month,period,account_number,account_name,management_group,management_line,actual_amount,plan_amount,variance,contribution_pct,variance_contribution_pct,metric,driver_direction,driver_rank,root_cause_status,analysis_level
2021,1,2021-01,2021-01-01,601,Revenues from own products,Revenue,Sales Revenue,122393.3,0.0,122393.3,1.2861446933980554,1.3201015248158265,REVENUE,FAVORABLE,3,DRIVER_IDENTIFIED,ACCOUNT
2021,1,2021-01,2021-01-01,602,Revenues from services,Revenue,Sales Revenue,-8660080.68,0.0,-8660080.68,91.00266771940149,-93.4053229277753,REVENUE,UNFAVORABLE,1,DRIVER_IDENTIFIED,ACCOUNT
2021,1,2021-01,2021-01-01,604,Revenues from goods,Revenue,Sales Revenue,-733819.22,0.0,-733819.22,7.711187587200444,-7.914778597040528,REVENUE,UNFAVORABLE,2,DRIVER_IDENTIFIED,ACCOUNT
2021,2,2021-02,2021-02-01,601,Revenues from own products,Revenue,Sales Revenue,373073.0,0.0,373073.0,4.606126012897417,6.436995006450736,REVENUE,FAVORABLE,3,DRIVER_IDENTIFIED,ACCOUNT
2021,2,2021-02,2021-02-01,602,Revenues from services,Revenue,Sales Revenue,-6947629.78,0.0,-6947629.78,85.7785426917487,-119.87428251449029,REVENUE,UNFAVORABLE,1,DRIVER_IDENTIFIED,ACCOUNT
2021,2,2021-02,2021-02-01,604,Revenues from goods,Revenue,Sales Revenue,778793.39,0.0,778793.39,9.615331295353894,13.437287508039555,REVENUE,FAVORABLE,2,DRIVER_IDENTIFIED,ACCOUNT
2021,3,2021-03,2021-03-01,601,Revenues from own products,Revenue,Sales Revenue,811590.55,0.0,811590.55,8.631892231540391,10.433027635508175,REVENUE,FAVORABLE,2,DRIVER_IDENTIFIED,ACCOUNT
2021,3,2021-03,2021-03-01,602,Revenues from services,Revenue,Sales Revenue,-8388981.46,0.0,-8388981.46,89.22329602668533,-107.84067829023604,REVENUE,UNFAVORABLE,1,DRIVER_IDENTIFIED,ACCOUNT
2021,3,2021-03,2021-03-01,604,Revenues from goods,Revenue,Sales Revenue,-201660.18,0.0,-201660.18,2.1448117417742685,-2.5923493452721362,REVENUE,UNFAVORABLE,3,DRIVER_IDENTIFIED,ACCOUNT
2021,4,2021-04,2021-04-01,601,Revenues from own products,Revenue,Sales Revenue,683964.11,0.0,683964.11,6.46585162699885,7.4261836611564656,REVENUE,FAVORABLE,3,DRIVER_IDENTIFIED,ACCOUNT
2021,4,2021-04,2021-04-01,602,Revenues from services,Revenue,Sales Revenue,-9109256.73,0.0,-9109256.73,86.11431738490012,-98.90433212000785,REVENUE,UNFAVORABLE,1,DRIVER_IDENTIFIED,ACCOUNT
2021,4,2021-04,2021-04-01,604,Revenues from goods,Revenue,Sales Revenue,-784876.98,0.0,-784876.98,7.419830988101034,-8.521851541148601,REVENUE,UNFAVORABLE,2,DRIVER_IDENTIFIED,ACCOUNT
