calendar_year,calendar_month,year_month,period,management_group,management_line,actual_amount,plan_amount,variance,abs_variance,contribution_pct,driver_rank,driver_type,root_cause_status,analysis_level
2021,1,2021-01,2021-01-01,Closing Accounts,Closing Balance Sheet Account,134037709.08,0.0,134037709.08,134037709.08,23.55417732671774,1,MANAGEMENT_LINE,DRIVER_IDENTIFIED,MANAGEMENT_LINE
2021,1,2021-01,2021-01-01,Closing Accounts,Opening Balance Sheet Account,-91888669.98,0.0,-91888669.98,91888669.98,16.147411365658094,4,MANAGEMENT_LINE,DRIVER_IDENTIFIED,MANAGEMENT_LINE
2021,1,2021-01,2021-01-01,Closing Accounts,Profit and Loss Account,-42149039.1,0.0,-42149039.1,42149039.1,7.406765961059645,5,MANAGEMENT_LINE,DRIVER_IDENTIFIED,MANAGEMENT_LINE
2021,1,2021-01,2021-01-01,EBITDA Adjustments,Depreciation,-8674874.87,0.0,-8674874.87,8674874.87,1.5244183325538188,9,MANAGEMENT_LINE,DRIVER_IDENTIFIED,MANAGEMENT_LINE
2021,1,2021-01,2021-01-01,EBITDA Adjustments,Provisions,-1213384.59,0.0,-1213384.59,1213384.59,0.21322563623725208,17,MANAGEMENT_LINE,DRIVER_IDENTIFIED,MANAGEMENT_LINE
2021,1,2021-01,2021-01-01,Financial Result,FX Gains,-2562161.44,0.0,-2562161.44,2562161.44,0.45024348231301825,14,MANAGEMENT_LINE,DRIVER_IDENTIFIED,MANAGEMENT_LINE
2021,1,2021-01,2021-01-01,Financial Result,FX Losses,-520200.7,0.0,-520200.7,520200.7,0.09141382389615142,20,MANAGEMENT_LINE,DRIVER_IDENTIFIED,MANAGEMENT_LINE
2021,1,2021-01,2021-01-01,Financial Result,Interest Expense,-2211661.66,0.0,-2211661.66,2211661.66,0.3886508601489962,15,MANAGEMENT_LINE,DRIVER_IDENTIFIED,MANAGEMENT_LINE
2021,1,2021-01,2021-01-01,Financial Result,Interest Income,-7838795.75,0.0,-7838795.75,7838795.75,1.3774958285300274,10,MANAGEMENT_LINE,DRIVER_IDENTIFIED,MANAGEMENT_LINE
2021,1,2021-01,2021-01-01,Financial Result,Other Financial Expenses,-6565528.67,0.0,-6565528.67,6565528.67,1.15374716263264,12,MANAGEMENT_LINE,DRIVER_IDENTIFIED,MANAGEMENT_LINE
2021,1,2021-01,2021-01-01,Non-Core Operating Items,Fixed Asset Disposal Costs,-106594970.0,0.0,-106594970.0,106594970.0,18.73171992232141,3,MANAGEMENT_LINE,DRIVER_IDENTIFIED,MANAGEMENT_LINE
2021,1,2021-01,2021-01-01,Operating Costs,Cost of Goods Sold,-23152397.98,0.0,-23152397.98,23152397.98,4.068524382449565,6,MANAGEMENT_LINE,DRIVER_IDENTIFIED,MANAGEMENT_LINE
