forecast_period,year_month,account_number,account_name,forecast_expense,lower_bound,upper_bound,selected_model,validation_rmse
2026-08-01,2026-08,518,Other Services,0.0,0.0,933831.1762011404,HoltWinters,476444.47765364306
2026-08-01,2026-08,582,Inventory Change,400206.9527711034,0.0,946292.1666205784,HoltWinters,278614.90502524236
2026-09-01,2026-09,501,Material Consumption,7438943.4,3657089.9405176486,11220796.859482352,SeasonalNaive,1929517.0711644653
2026-09-01,2026-09,502,Energy Consumption,0.0,0.0,1430425.2970772053,HoltWinters,729808.8250393905
2026-09-01,2026-09,504,Cost of Goods Sold,23566758.16,7915755.695747448,39217760.62425255,SeasonalNaive,7985205.338904363
2026-09-01,2026-09,518,Other Services,155669.02687333507,0.0,1089500.2030744755,HoltWinters,476444.47765364306
2026-09-01,2026-09,521,Payroll Costs,1430887.3157099325,359041.51717917784,2502733.1142406873,HoltWinters,546860.1012912013
2026-09-01,2026-09,524,Social & Health Insurance,896568.3356505847,0.0,2284467.1030412167,HoltWinters,708111.6160156287
2026-09-01,2026-09,548,Other Operating Costs,2457558.0,1531603.3337022003,3383512.6662978,SeasonalNaive,472425.8501519386
2026-09-01,2026-09,549,Shortages & Damages,6240475.89,3071644.9034223217,9409306.876577677,SeasonalNaive,1616750.5033559583
2026-09-01,2026-09,582,Inventory Change,154510.7231441486,0.0,700595.9369936236,HoltWinters,278614.90502524236
2026-10-01,2026-10,501,Material Consumption,7495180.61,3713327.1505176486,11277034.069482353,SeasonalNaive,1929517.0711644653
2026-10-01,2026-10,502,Energy Consumption,89392.11798020292,0.0,1519817.4150574082,HoltWinters,729808.8250393905
2026-10-01,2026-10,504,Cost of Goods Sold,24328604.85,8677602.38574745,39979607.314252555,SeasonalNaive,7985205.338904363
2026-10-01,2026-10,518,Other Services,151658.54318962377,0.0,1085489.7193907641,HoltWinters,476444.47765364306
2026-10-01,2026-10,521,Payroll Costs,1120023.4962825086,48177.69775175396,2191869.294813263,HoltWinters,546860.1012912013
2026-10-01,2026-10,524,Social & Health Insurance,1064292.0145981535,0.0,2452190.7819887856,HoltWinters,708111.6160156287
2026-10-01,2026-10,548,Other Operating Costs,1268929.6600000001,342974.9937022005,2194884.3262978,SeasonalNaive,472425.8501519386
2026-10-01,2026-10,549,Shortages & Damages,5545095.72,2376264.7334223217,8713926.706577677,SeasonalNaive,1616750.5033559583
2026-10-01,2026-10,582,Inventory Change,40075.38448753237,0.0,586160.5983370075,HoltWinters,278614.90502524236
2026-11-01,2026-11,501,Material Consumption,6614113.86,2832260.4005176486,10395967.319482353,SeasonalNaive,1929517.0711644653
2026-11-01,2026-11,502,Energy Consumption,313557.5951645517,0.0,1743982.892241757,HoltWinters,729808.8250393905
2026-11-01,2026-11,504,Cost of Goods Sold,24005012.63,8354010.165747447,39656015.09425255,SeasonalNaive,7985205.338904363
2026-11-01,2026-11,518,Other Services,38164.77584345582,0.0,971995.9520445962,HoltWinters,476444.47765364306
2026-11-01,2026-11,521,Payroll Costs,1434809.2062454333,362963.4077146787,2506655.004776188,HoltWinters,546860.1012912013
2026-11-01,2026-11,524,Social & Health Insurance,200356.62231851462,0.0,1588255.3897091467,HoltWinters,708111.6160156287
2026-11-01,2026-11,548,Other Operating Costs,726823.8,0.0,1652778.4662977997,SeasonalNaive,472425.8501519386
2026-11-01,2026-11,549,Shortages & Damages,3959609.73,790778.743422322,7128440.716577678,SeasonalNaive,1616750.5033559583
2026-11-01,2026-11,582,Inventory Change,262821.0696171316,0.0,808906.2834666066,HoltWinters,278614.90502524236
2026-12-01,2026-12,501,Material Consumption,6919859.57,3138006.1105176485,10701713.029482352,SeasonalNaive,1929517.0711644653
2026-12-01,2026-12,502,Energy Consumption,42172.065699027255,0.0,1472597.3627762324,HoltWinters,729808.8250393905
2026-12-01,2026-12,504,Cost of Goods Sold,26818360.36,11167357.895747447,42469362.82425255,SeasonalNaive,7985205.338904363
2026-12-01,2026-12,518,Other Services,223007.62463849632,0.0,1156838.8008396367,HoltWinters,476444.47765364306
2026-12-01,2026-12,521,Payroll Costs,1546706.4802775385,474860.6817467839,2618552.278808293,HoltWinters,546860.1012912013
2026-12-01,2026-12,524,Social & Health Insurance,1253400.5040919336,0.0,2641299.2714825654,HoltWinters,708111.6160156287
2026-12-01,2026-12,548,Other Operating Costs,676247.79,0.0,1602202.4562977997,SeasonalNaive,472425.8501519386
2026-12-01,2026-12,549,Shortages & Damages,5419228.87,2250397.883422322,8588059.856577678,SeasonalNaive,1616750.5033559583
2026-12-01,2026-12,582,Inventory Change,277362.3784638243,0.0,823447.5923132993,HoltWinters,278614.90502524236
2027-01-01,2027-01,501,Material Consumption,6726449.99,2944596.5305176484,10508303.449482352,SeasonalNaive,1929517.0711644653
2027-01-01,2027-01,502,Energy Consumption,0.0,0.0,1430425.2970772053,HoltWinters,729808.8250393905
2027-01-01,2027-01,504,Cost of Goods Sold,26206722.07,10555719.605747448,41857724.534252554,SeasonalNaive,7985205.338904363
2027-01-01,2027-01,518,Other Services,203200.1770211105,0.0,1137031.353222251,HoltWinters,476444.47765364306
2027-01-01,2027-01,521,Payroll Costs,1594967.4303450421,523121.6318142875,2666813.228875797,HoltWinters,546860.1012912013
2027-01-01,2027-01,524,Social & Health Insurance,535531.4134789591,0.0,1923430.1808695912,HoltWinters,708111.6160156287
2027-01-01,2027-01,548,Other Operating Costs,736106.1799999999,0.0,1662060.8462977996,SeasonalNaive,472425.8501519386
2027-01-01,2027-01,549,Shortages & Damages,5749219.62,2580388.633422322,8918050.606577678,SeasonalNaive,1616750.5033559583
