period,year_month,calendar_year,calendar_month,rolling_data_type,forecast_horizon_month,rolling_revenue,rolling_operating_costs,rolling_ebitda,rolling_ebitda_margin,anomaly_count,high_critical_anomaly_count,max_robust_score,anomaly_max_severity,anomaly_controller_status,variance_metric,root_cause_total_variance,root_cause_primary_account,root_cause_primary_driver,root_cause_primary_variance,root_cause_primary_contribution_pct,root_cause_controller_interpretation,analysis_type,pvm_total_variance,pvm_price_effect,pvm_volume_effect,pvm_mix_effect,reconciliation_check,pvm_top_driver_account,pvm_top_driver_name,pvm_top_driver_variance,price_status,volume_status,mix_status,ml_predicted_revenue,ml_revenue_lower_bound,ml_revenue_upper_bound,revenue_prediction_rmse,revenue_prediction_mape_pct,ml_predicted_expenses,ml_expense_lower_bound,ml_expense_upper_bound,expense_prediction_rmse,ml_predicted_operating_cf,ml_predicted_closing_cash,ml_ocf_lower_bound,ml_ocf_upper_bound,ml_cash_lower_bound,ml_cash_upper_bound,cash_prediction_rmse,cash_prediction_mape_pct,anomaly_risk_predicted,anomaly_risk_confidence
2021-01-01,2021-01,2021,1,,,,,,,11.0,0.0,0.0,NORMAL,WATCH,EBITDA,-260228253.28,641.0,Other Operating Income,-107829182.0,41.022576281343945,UNFAVORABLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-01,2021-01,2021,1,,,,,,,11.0,0.0,0.0,NORMAL,WATCH,NET_PROFIT,-287279300.51,641.0,Other Operating Income,-107829182.0,35.79621572423642,UNFAVORABLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-01,2021-01,2021,1,,,,,,,11.0,0.0,0.0,NORMAL,WATCH,OPERATING_COSTS,-36374666.45,504.0,Cost of Goods Sold,-23152397.98,59.49812132732993,UNFAVORABLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-01,2021-01,2021,1,,,,,,,11.0,0.0,0.0,NORMAL,WATCH,REVENUE,-9271506.6,602.0,Sales Revenue,-8660080.68,91.00266771940149,UNFAVORABLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-01,2021-02,2021,2,,,,,,,11.0,0.0,0.0,NORMAL,WATCH,EBITDA,-259796262.64,541.0,Fixed Asset Disposal Costs,-197605531.0,75.26354523242942,UNFAVORABLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-01,2021-02,2021,2,,,,,,,11.0,0.0,0.0,NORMAL,WATCH,NET_PROFIT,-285456165.25,541.0,Fixed Asset Disposal Costs,-197605531.0,66.67968529035085,UNFAVORABLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-01,2021-02,2021,2,,,,,,,11.0,0.0,0.0,NORMAL,WATCH,OPERATING_COSTS,-37466545.05,504.0,Cost of Goods Sold,-23939698.93,63.896200992250286,UNFAVORABLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-01,2021-02,2021,2,,,,,,,11.0,0.0,0.0,NORMAL,WATCH,REVENUE,-5795763.390000001,602.0,Sales Revenue,-6947629.78,85.7785426917487,UNFAVORABLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-01,2021-03,2021,3,,,,,,,11.0,0.0,0.0,NORMAL,WATCH,REVENUE,-7779051.090000001,602.0,Sales Revenue,-8388981.46,89.22329602668533,UNFAVORABLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-01,2021-03,2021,3,,,,,,,11.0,0.0,0.0,NORMAL,WATCH,OPERATING_COSTS,-40960379.510000005,504.0,Cost of Goods Sold,-24283718.19,59.06527225872736,UNFAVORABLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-01,2021-03,2021,3,,,,,,,11.0,0.0,0.0,NORMAL,WATCH,EBITDA,-227119593.66,541.0,Fixed Asset Disposal Costs,-174631237.0,75.90278738682524,UNFAVORABLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-01,2021-03,2021,3,,,,,,,11.0,0.0,0.0,NORMAL,WATCH,NET_PROFIT,-259709001.85,541.0,Fixed Asset Disposal Costs,-174631237.0,63.00996103100665,UNFAVORABLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-01,2021-04,2021,4,,,,,,,0.0,0.0,0.0,NORMAL,NORMAL,REVENUE,-9210169.6,602.0,Sales Revenue,-9109256.73,86.11431738490012,UNFAVORABLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-01,2021-04,2021,4,,,,,,,0.0,0.0,0.0,NORMAL,NORMAL,EBITDA,-66105873.28999999,504.0,Cost of Goods Sold,-23444258.92,34.29600730605609,UNFAVORABLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-01,2021-04,2021,4,,,,,,,0.0,0.0,0.0,NORMAL,NORMAL,NET_PROFIT,-82549257.69,504.0,Cost of Goods Sold,-23444258.92,23.222699028035294,UNFAVORABLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-01,2021-04,2021,4,,,,,,,0.0,0.0,0.0,NORMAL,NORMAL,OPERATING_COSTS,-38755979.54,504.0,Cost of Goods Sold,-23444258.92,59.34575702025112,UNFAVORABLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-01,2021-05,2021,5,,,,,,,0.0,0.0,0.0,NORMAL,NORMAL,REVENUE,-7772793.73,602.0,Sales Revenue,-6750628.83,86.84945290578294,UNFAVORABLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-01,2021-05,2021,5,,,,,,,0.0,0.0,0.0,NORMAL,NORMAL,OPERATING_COSTS,-38654746.5,504.0,Cost of Goods Sold,-23285599.06,58.76008769806671,UNFAVORABLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-01,2021-05,2021,5,,,,,,,0.0,0.0,0.0,NORMAL,NORMAL,EBITDA,-127438645.15,641.0,Other Operating Income,-71935509.6,55.89673944469451,UNFAVORABLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-01,2021-05,2021,5,,,,,,,0.0,0.0,0.0,NORMAL,NORMAL,NET_PROFIT,-138767982.25,641.0,Other Operating Income,-71935509.6,48.057733978298046,UNFAVORABLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-01,2021-06,2021,6,,,,,,,0.0,0.0,0.0,NORMAL,NORMAL,EBITDA,-156008478.02,541.0,Fixed Asset Disposal Costs,-106878163.0,66.83214442052233,UNFAVORABLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-01,2021-06,2021,6,,,,,,,0.0,0.0,0.0,NORMAL,NORMAL,NET_PROFIT,-169665665.60999998,541.0,Fixed Asset Disposal Costs,-106878163.0,56.62323319680805,UNFAVORABLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-01,2021-06,2021,6,,,,,,,0.0,0.0,0.0,NORMAL,NORMAL,OPERATING_COSTS,-39152295.440000005,504.0,Cost of Goods Sold,-24420936.89,61.22226870306623,UNFAVORABLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-01,2021-06,2021,6,,,,,,,0.0,0.0,0.0,NORMAL,NORMAL,REVENUE,-7836161.75,602.0,Sales Revenue,-8372339.71,82.96617321663527,UNFAVORABLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
