customer_key,customer_code,customer_name,customer_type,country_code,city,industry,payment_terms,credit_limit,risk_category,active_from,active_to,is_active
1,CUST000001,Customer 000001,Government,CZ,Prague,IT Services,30,1922427.0,LOW,2020-01-01,2035-12-31,True
2,CUST000002,Customer 000002,Government,CZ,Brno,Logistics,14,299957.0,LOW,2020-01-01,2035-12-31,True
3,CUST000003,Customer 000003,Corporate,SK,Prague,Healthcare,60,1899189.0,MEDIUM,2020-01-01,2035-12-31,True
4,CUST000004,Customer 000004,Government,DE,Prague,Automotive,60,2904228.0,MEDIUM,2020-01-01,2035-12-31,True
5,CUST000005,Customer 000005,Corporate,SK,Warsaw,Retail,14,3237061.0,LOW,2020-01-01,2035-12-31,True
6,CUST000006,Customer 000006,SME,DE,Vienna,Manufacturing,60,4548207.0,LOW,2020-01-01,2035-12-31,True
7,CUST000007,Customer 000007,SME,CZ,Vienna,Construction,30,633470.0,LOW,2020-01-01,2035-12-31,True
8,CUST000008,Customer 000008,Government,SK,Vienna,Retail,30,897261.0,MEDIUM,2020-01-01,2035-12-31,True
9,CUST000009,Customer 000009,SME,AT,Warsaw,Automotive,45,3030226.0,LOW,2020-01-01,2035-12-31,True
10,CUST000010,Customer 000010,Government,DE,Brno,Automotive,30,1420719.0,MEDIUM,2020-01-01,2035-12-31,True
11,CUST000011,Customer 000011,SME,DE,Bratislava,Construction,14,1971394.0,LOW,2020-01-01,2035-12-31,True
12,CUST000012,Customer 000012,SME,AT,Vienna,Retail,30,4807851.0,HIGH,2020-01-01,2035-12-31,True
13,CUST000013,Customer 000013,SME,SK,Munich,Logistics,60,1248493.0,MEDIUM,2020-01-01,2035-12-31,True
14,CUST000014,Customer 000014,Corporate,SK,Vienna,Logistics,60,3086646.0,LOW,2020-01-01,2035-12-31,True
15,CUST000015,Customer 000015,Corporate,PL,Munich,Retail,14,969803.0,LOW,2020-01-01,2035-12-31,True
16,CUST000016,Customer 000016,Government,SK,Berlin,Retail,60,3251254.0,HIGH,2020-01-01,2035-12-31,True
17,CUST000017,Customer 000017,SME,PL,Vienna,Manufacturing,14,4554433.0,MEDIUM,2020-01-01,2035-12-31,True
18,CUST000018,Customer 000018,Government,DE,Brno,IT Services,60,1376723.0,MEDIUM,2020-01-01,2035-12-31,True
19,CUST000019,Customer 000019,Corporate,DE,Ostrava,Retail,45,4308584.0,HIGH,2020-01-01,2035-12-31,True
20,CUST000020,Customer 000020,Corporate,SK,Warsaw,Automotive,14,2769218.0,MEDIUM,2020-01-01,2035-12-31,True
21,CUST000021,Customer 000021,Corporate,CZ,Warsaw,IT Services,30,535911.0,LOW,2020-01-01,2035-12-31,True
22,CUST000022,Customer 000022,Government,CZ,Brno,Energy,14,4518663.0,LOW,2020-01-01,2035-12-31,True
23,CUST000023,Customer 000023,Corporate,AT,Ostrava,IT Services,60,1826692.0,HIGH,2020-01-01,2035-12-31,True
24,CUST000024,Customer 000024,Government,SK,Vienna,Logistics,45,3725049.0,HIGH,2020-01-01,2035-12-31,True
25,CUST000025,Customer 000025,SME,CZ,Bratislava,Healthcare,14,2886067.0,LOW,2020-01-01,2035-12-31,True
26,CUST000026,Customer 000026,Government,PL,Bratislava,Healthcare,14,645533.0,HIGH,2020-01-01,2035-12-31,True
27,CUST000027,Customer 000027,Government,CZ,Bratislava,Retail,14,2821835.0,LOW,2020-01-01,2035-12-31,True
28,CUST000028,Customer 000028,Government,SK,Vienna,Energy,30,4573422.0,LOW,2020-01-01,2035-12-31,True
29,CUST000029,Customer 000029,Government,PL,Munich,Healthcare,60,3464666.0,LOW,2020-01-01,2035-12-31,True
30,CUST000030,Customer 000030,Corporate,CZ,Berlin,Construction,60,3498575.0,MEDIUM,2020-01-01,2035-12-31,True
31,CUST000031,Customer 000031,Government,CZ,Brno,Manufacturing,60,2896276.0,LOW,2020-01-01,2035-12-31,True
32,CUST000032,Customer 000032,Corporate,SK,Bratislava,Energy,30,3588999.0,LOW,2020-01-01,2035-12-31,True
33,CUST000033,Customer 000033,SME,AT,Bratislava,Retail,60,4666463.0,LOW,2020-01-01,2035-12-31,True
34,CUST000034,Customer 000034,Corporate,PL,Prague,Retail,30,1445118.0,MEDIUM,2020-01-01,2035-12-31,True
35,CUST000035,Customer 000035,SME,AT,Bratislava,Logistics,14,1431076.0,MEDIUM,2020-01-01,2035-12-31,True
36,CUST000036,Customer 000036,Corporate,AT,Vienna,Energy,45,3598443.0,HIGH,2020-01-01,2035-12-31,True
37,CUST000037,Customer 000037,Government,PL,Munich,Automotive,30,2538965.0,LOW,2020-01-01,2035-12-31,True
38,CUST000038,Customer 000038,Corporate,PL,Prague,Construction,14,470624.0,HIGH,2020-01-01,2035-12-31,True
39,CUST000039,Customer 000039,SME,PL,Ostrava,Manufacturing,14,1608812.0,LOW,2020-01-01,2035-12-31,True
