supplier_code,supplier_name,country_code,city,payment_terms,vat_number,active
SUP000001,Supplier 000001,CZ,Brno,14,CZ100000001,True
SUP000002,Supplier 000002,DE,Munich,30,DE100000002,True
SUP000003,Supplier 000003,SK,Bratislava,30,SK100000003,True
SUP000004,Supplier 000004,CZ,Brno,14,CZ100000004,True
SUP000005,Supplier 000005,AT,Vienna,14,AT100000005,True
SUP000006,Supplier 000006,CZ,Prague,14,CZ100000006,True
SUP000007,Supplier 000007,SK,Bratislava,30,SK100000007,True
SUP000008,Supplier 000008,CZ,Prague,30,CZ100000008,True
SUP000009,Supplier 000009,AT,Vienna,30,AT100000009,True
SUP000010,Supplier 000010,PL,Warsaw,45,PL100000010,True
SUP000011,Supplier 000011,CZ,Prague,30,CZ100000011,True
SUP000012,Supplier 000012,AT,Vienna,45,AT100000012,True
SUP000013,Supplier 000013,DE,Munich,30,DE100000013,True
SUP000014,Supplier 000014,SK,Bratislava,45,SK100000014,True
SUP000015,Supplier 000015,CZ,Brno,14,CZ100000015,True
SUP000016,Supplier 000016,AT,Vienna,14,AT100000016,True
SUP000017,Supplier 000017,DE,Berlin,45,DE100000017,True
SUP000018,Supplier 000018,DE,Munich,14,DE100000018,True
SUP000019,Supplier 000019,PL,Warsaw,14,PL100000019,True
SUP000020,Supplier 000020,AT,Vienna,14,AT100000020,True
SUP000021,Supplier 000021,DE,Munich,45,DE100000021,True
SUP000022,Supplier 000022,SK,Bratislava,14,SK100000022,True
SUP000023,Supplier 000023,CZ,Prague,30,CZ100000023,True
SUP000024,Supplier 000024,DE,Munich,14,DE100000024,True
SUP000025,Supplier 000025,SK,Bratislava,14,SK100000025,True
SUP000026,Supplier 000026,AT,Vienna,45,AT100000026,True
SUP000027,Supplier 000027,PL,Warsaw,45,PL100000027,True
SUP000028,Supplier 000028,CZ,Ostrava,45,CZ100000028,True
SUP000029,Supplier 000029,DE,Berlin,30,DE100000029,True
SUP000030,Supplier 000030,DE,Munich,14,DE100000030,True
SUP000031,Supplier 000031,CZ,Ostrava,30,CZ100000031,True
SUP000032,Supplier 000032,CZ,Ostrava,60,CZ100000032,True
SUP000033,Supplier 000033,AT,Vienna,45,AT100000033,True
SUP000034,Supplier 000034,SK,Bratislava,45,SK100000034,True
SUP000035,Supplier 000035,CZ,Prague,30,CZ100000035,True
SUP000036,Supplier 000036,CZ,Prague,45,CZ100000036,True
SUP000037,Supplier 000037,AT,Vienna,45,AT100000037,True
SUP000038,Supplier 000038,CZ,Brno,30,CZ100000038,True
SUP000039,Supplier 000039,DE,Berlin,30,DE100000039,True
SUP000040,Supplier 000040,PL,Warsaw,60,PL100000040,True
SUP000041,Supplier 000041,PL,Warsaw,30,PL100000041,True
SUP000042,Supplier 000042,DE,Munich,30,DE100000042,True
SUP000043,Supplier 000043,SK,Bratislava,45,SK100000043,True
SUP000044,Supplier 000044,AT,Vienna,60,AT100000044,True
SUP000045,Supplier 000045,DE,Berlin,30,DE100000045,True
SUP000046,Supplier 000046,CZ,Ostrava,60,CZ100000046,True
SUP000047,Supplier 000047,CZ,Brno,14,CZ100000047,True
SUP000048,Supplier 000048,CZ,Brno,30,CZ100000048,True
SUP000049,Supplier 000049,CZ,Ostrava,60,CZ100000049,True
SUP000050,Supplier 000050,CZ,Brno,60,CZ100000050,True
SUP000051,Supplier 000051,AT,Vienna,60,AT100000051,True
SUP000052,Supplier 000052,DE,Munich,14,DE100000052,True
SUP000053,Supplier 000053,CZ,Brno,45,CZ100000053,True
SUP000054,Supplier 000054,DE,Berlin,14,DE100000054,True
SUP000055,Supplier 000055,DE,Munich,60,DE100000055,True
SUP000056,Supplier 000056,CZ,Ostrava,60,CZ100000056,True
SUP000057,Supplier 000057,CZ,Prague,45,CZ100000057,True
SUP000058,Supplier 000058,CZ,Ostrava,14,CZ100000058,True
SUP000059,Supplier 000059,DE,Munich,30,DE100000059,True
SUP000060,Supplier 000060,CZ,Ostrava,45,CZ100000060,True
SUP000061,Supplier 000061,CZ,Ostrava,14,CZ100000061,True
SUP000062,Supplier 000062,DE,Berlin,60,DE100000062,True
SUP000063,Supplier 000063,CZ,Prague,14,CZ100000063,True
SUP000064,Supplier 000064,DE,Berlin,45,DE100000064,True
SUP000065,Supplier 000065,SK,Bratislava,14,SK100000065,True
SUP000066,Supplier 000066,SK,Bratislava,14,SK100000066,True
SUP000067,Supplier 000067,CZ,Brno,60,CZ100000067,True
SUP000068,Supplier 000068,CZ,Brno,30,CZ100000068,True
